127.0.0.1 - - [30/Nov/2020:03:15:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:15:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:15:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:15:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:03:15:49 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:15:49 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:15:50 -0800] "GET /manager/text/stop?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - root [30/Nov/2020:03:15:50 -0800] "GET /manager/text/start?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - - [30/Nov/2020:03:15:50 -0800] "GET /ConfigDemoServlet HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2020:03:16:56 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:16:56 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:16:56 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:03:16:56 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:16:56 -0800] "GET /manager/text/stop?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - root [30/Nov/2020:03:16:56 -0800] "GET /manager/text/start?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - - [30/Nov/2020:03:16:57 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:17:00 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:17:00 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:17:00 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2020:03:17:00 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [30/Nov/2020:03:17:00 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:17:00 -0800] "GET /manager/text/list HTTP/1.1" 200 1065
127.0.0.1 - root [30/Nov/2020:03:17:00 -0800] "GET /manager/text/stop?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - root [30/Nov/2020:03:17:00 -0800] "GET /manager/text/start?path=/ConfigDemoServlet HTTP/1.1" 200 72
127.0.0.1 - - [30/Nov/2020:03:17:01 -0800] "GET /ConfigDemoServlet HTTP/1.1" 200 -
